,BtlNum,Depthm,O2Sat,O2ml_L,RecInd,STheta,Salnty,T_degC,T_prec
0,7.35,210.0,42.63,2.5555,2.85,25.156950000000002,35.72730000000001,7.799500000000001,2.1
1,16.8,89.25,61.214999999999996,3.4295,2.85,26.964,35.35245,10.773,2.1
2,4.2,4.75,132.615,7.14,2.85,22.81805,31.7851,19.215,2.1
3,9.5,130.2,81.58500000000001,4.56,2.85,26.7918,35.16345,10.906,2.1
4,1.05,0.95,105.735,6.09,2.85,23.32155,31.484900000000003,15.708,2.1
5,16.15,52.5,105.609,5.51095,2.85,25.87641,34.894125,14.1151,2.1
6,9.5,126.0,41.181,2.6376,3.15,24.80545,35.551215,9.24065,2.1
7,19.95,10.5,109.515,5.956499999999999,3.15,26.54505,35.18235,12.141,2.1
8,3.15,357.2,23.465,1.785,3.15,25.40205,35.76615,6.27,1.9
9,6.3,217.55,28.215,2.0685,3.15,25.21965,35.8092,7.771,1.9
10,8.4,10.45,102.9,5.5649999999999995,2.85,23.351,32.344649999999994,18.7425,2.1
11,10.45,113.4,66.78,4.2105,2.85,27.0732,35.288399999999996,9.9655,2.1
12,19.95,31.5,106.365,5.225,3.15,25.21575,34.98285,16.986,2.1
13,21.0,28.35,106.05,5.2725,3.15,25.39845,35.02065,16.4065,2.1
14,8.4,161.5,27.265,1.953,2.85,25.0857,32.40165,9.555,1.9
15,19.95,44.1,106.05,5.7,3.15,26.4726,35.23065,12.6445,2.1
16,6.3,219.45,29.83,2.1315,3.15,25.0306,35.777699999999996,8.8445,1.9
17,13.3,63.0,84.525,4.645499999999999,2.85,26.46945,34.96605,11.7135,2.1
18,10.45,105.0,48.93,2.85,2.85,24.78455,35.4858,9.072500000000002,2.1
19,13.65,73.5,73.08,4.578,2.85,26.8632,31.757550000000002,10.2885,2.1
20,6.3,77.7,63.567,3.5938499999999998,2.85,26.9890215,35.28147,10.37685,2.1
21,2.1,19.0,107.1945,5.757149999999999,2.85,22.8643055,31.870314999999998,19.306350000000002,2.1
22,6.65,203.7,56.489999999999995,3.306,2.85,27.3987,35.43435,8.8255,2.1
23,5.25,253.65,18.335,1.3545,3.15,25.3365,32.4653,7.334,2.1
24,5.25,254.6,15.96,1.1760000000000002,2.85,25.345049999999997,35.9268,7.4955,2.1
25,2.85,360.05,11.495,0.8714999999999999,2.85,25.501800000000003,32.4976,6.3365,2.1
26,6.3,415.15,5.890000000000001,0.441,2.85,25.47615,32.51755,6.65,2.1
27,10.45,106.05,58.8,3.7064999999999997,2.85,27.0963,35.32515,9.994,2.1
28,3.8,333.9,51.239999999999995,3.4545,2.85,25.2491,35.710499999999996,7.0965,2.1
